작업 ID,상위 작업 ID,작업 내용,선행 조건,결과물,예상 소요 시간 (일),담당자
1,,"1. 프로젝트 초기 설정 (Project Setup)",,,"",
1.1,1,"1.1. 개발 환경 구성",,,"",
1.1.1,1.1,"1.1.1. Java 17 설치 및 설정",,"Java 17 개발 환경 (JDK, JRE) 구성 완료",1,
1.1.2,1.1,"1.1.2. IntelliJ IDEA 설치 및 기본 설정",,"IDE 설치 및 기본 개발 설정 완료",1,
1.1.3,1.1,"1.1.3. Git / GitHub 계정 설정 및 레포지토리 초기화",,"Git 로컬 설정 및 GitHub 레포지토리 생성 및 초기 커밋",0.5,
1.1.4,1.1,"1.1.4. Docker Desktop 설치 및 초기 설정",,"Docker 실행 환경 구성 완료",0.5,
1.2,1,"1.2. Spring Boot 프로젝트 초기화",,,"",
1.2.1,1.2,"1.2.1. Spring Initializr를 통한 프로젝트 생성","1.1.1, 1.1.2","기본적인 Spring Boot 프로젝트 스켈레톤 생성",0.5,
1.2.2,1.2,"1.2.2. 필요한 의존성 추가 (Spring Web, JPA, Security, Thymeleaf, MySQL/PostgreSQL Driver 등)","1.2.1","`pom.xml` 또는 `build.gradle`에 필요한 의존성 추가 완료",0.5,
1.2.3,1.2,"1.2.3. 기본 패키지 구조 및 설정 파일 생성","1.2.2","애플리케이션 초기 구조 및 `application.properties` 등 설정 파일 생성",0.5,
2,,"2. 데이터베이스 및 JPA 설정 (Database & JPA Setup)",,,"",
2.1,2,"2.1. RDBMS 선택 및 설치 (로컬)",,,"",
2.1.1,2.1,"2.1.1. MySQL 또는 PostgreSQL 설치 및 기본 DB/유저 생성","1.1.4 (Docker 활용 시)","로컬 DB 서버 실행 및 프로젝트용 데이터베이스, 사용자 계정 생성",1,
2.1.2,2.1,"2.1.2. DB Client (DBeaver, DataGrip 등) 설치 및 연동 확인","2.1.1","DB Client를 통한 DB 접속 및 기본 기능 확인",0.5,
2.2,2,"2.2. JPA 초기 설정",,,"",
2.2.1,2.2,"2.2.1. `application.properties`에 DB 접속 정보 설정","1.2.2 (JPA 의존성 추가), 2.1.1","Spring Boot와 DB 간 연동 설정 완료",0.5,
2.2.2,2.2,"2.2.2. JPA AuditorAware 설정 (선택 사항)","2.2.1","엔티티 자동 생성/수정 시간 기록 설정 완료",0.5,
3,,"3. 사용자 인증 및 인가 (User Authentication & Authorization)",,,"",
3.1,3,"3.1. 사용자 엔티티 및 리포지토리 설계",,,"",
3.1.1,3.1,"3.1.1. `User` 엔티티 정의 (ID, Password, Roles 등)","2.2.2","`User` 엔티티 클래스 및 JPA 어노테이션 정의 완료",1,
3.1.2,3.1,"3.1.2. `UserRepository` 인터페이스 정의","3.1.1","`UserRepository` 인터페이스 (Spring Data JPA) 정의 완료",0.5,
3.2,3,"3.2. 회원가입 기능 구현",,,"",
3.2.1,3.2,"3.2.1. 회원가입 요청 DTO 및 응답 DTO 정의","3.1.2","회원가입 관련 DTO 클래스",0.5,
3.2.2,3.2,"3.2.2. `UserService`에서 회원가입 로직 구현 (비밀번호 암호화 포함)","3.2.1","비밀번호 암호화 및 사용자 저장 로직 구현",1.5,
3.2.3,3.2,"3.2.3. 회원가입 REST API 컨트롤러 구현","3.2.2","`/auth/signup` API 엔드포인트 구현 완료",0.5,
3.3,3,"3.3. 로그인 및 JWT 발급 기능 구현",,,"",
